Gender,Height,Hand,Dates,FB_Friends,Weight,Varsity,Diet,Politics_9Cat,Politics_numeric,Politics_3Cat
Female,64,Predominantly Right Handed,1,1400,120,Yes,Omnivore,3. Moderately Liberal,3,Liberal
Female,56,Predominantly Right Handed,0,1300,145,Yes,Omnivore,6. Liberal Republican,6,Moderate
Male,72,Predominantly Right Handed,0,750,150,No,Carnivore,3. Moderately Liberal,3,Liberal
Female,67,Predominantly Right Handed,1,1131,143,Yes,Omnivore,9. Libertarian/Extreme Right,9,Conservative
Male,68,Predominantly Right Handed,1,634,135,No,Omnivore,3. Moderately Liberal,3,Liberal
Female,60,Predominantly Right Handed,1,400,125,No,Omnivore,4. Conservative Democrat,4,Moderate
Male,73,Predominantly Right Handed,1,781,150,No,Omnivore,3. Moderately Liberal,3,Liberal
Male,70,Predominantly Right Handed,0,600,150,No,Omnivore,9. Libertarian/Extreme Right,9,Conservative
Female,65,Predominantly Right Handed,0,536,130,No,Omnivore,3. Moderately Liberal,3,Liberal
Male,68,Predominantly Right Handed,0,830,143,No,Omnivore,2. Very Liberal,2,Liberal
Female,64,Predominantly Right Handed,1,810,170,No,Omnivore,2. Very Liberal,2,Liberal
Male,71,Predominantly Right Handed,1,299,240,No,Omnivore,3. Moderately Liberal,3,Liberal
Female,,Predominantly Right Handed,1,200,115,No,Omnivore,3. Moderately Liberal,3,Liberal
Male,70,Predominantly Left Handed,0,1308,135,No,Omnivore,3. Moderately Liberal,3,Liberal
Female,64,Predominantly Right Handed,1,929,125,Yes,Vegetarian,4. Conservative Democrat,4,Moderate
Female,66.5,Predominantly Right Handed,1,805,135,Yes,Omnivore,3. Moderately Liberal,3,Liberal
Male,75,Predominantly Left Handed,0,628,180,No,Omnivore,3. Moderately Liberal,3,Liberal
Male,66,Predominantly Right Handed,1,276,126,No,Omnivore,3. Moderately Liberal,3,Liberal
Male,70,Predominantly Right Handed,2,460,190,No,Omnivore,3. Moderately Liberal,3,Liberal
Male,71,Predominantly Right Handed,3,2000,200,Yes,Omnivore,3. Moderately Liberal,3,Liberal
Female,64,Predominantly Right Handed,0,761,123,No,Omnivore,5. Independent/Middle of Road,5,Moderate
Female,71,Predominantly Right Handed,1,717,154.8,No,Vegetarian,2. Very Liberal,2,Liberal
Male,69,Predominantly Right Handed,0,900,163,Yes,Vegetarian,3. Moderately Liberal,3,Liberal
Male,69,Predominantly Right Handed,0,500,155,No,Omnivore,4. Conservative Democrat,4,Moderate
